Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,tenure,TotalCharges
0,112,1,0,0.27,2,217.1,76,57.7,10.26,9.4,48,2769.6000000000004
1,16,1,0,0,0,229.6,78,57,10.29,10.8,13,741
0,98,1,1,2.62,0,278.3,89,82.2,4.67,9.7,18,1479.6000000000001
0,84,1,0,0,0,138.6,102,41,9.95,7.8,5,205
1,94,1,0,0.18,1,234.4,103,65.8,13.97,2,31,2039.8
0,84,1,0,0,1,181.5,129,42,6.54,8.5,56,2352
1,66,1,0,0,1,167.3,91,48,11.5,10.6,20,960
0,98,1,1,3.24,1,121,105,72.4,10.95,12,67,4850.8
0,74,1,0,0,0,221.1,124,48,5.54,10.6,8,384
0,96,1,1,2.67,1,145.8,108,68.7,9.61,9.9,19,1305.3
0,119,1,0,0.34,1,222.8,122,55.4,8.16,11.2,10,554
0,73,1,0,0,4,183.4,80,52,12.1,7.5,61,3172
0,92,0,0,0,0,264.3,91,59,8.05,9.3,12,708
0,21,1,0,0,0,146,78,35,5.49,6.8,35,1225
1,122,1,0,0.29,4,157.1,134,45.9,9.25,8.5,52,2386.7999999999997
0,133,0,0,0,1,127.3,108,43,12.57,10.3,32,1376
0,145,1,0,0,2,187.9,110,49,9.85,4.8,61,2989
0,25,1,0,0.26,2,178.8,90,45.6,7.06,8.4,54,2462.4
0,64,1,0,0.28,2,97.2,80,35.8,9.31,10.4,34,1217.1999999999998
0,85,1,0,0.2,0,259.8,85,67,12.12,5.4,1,67
0,126,1,0,0,3,256.5,112,61,9.98,7,7,427
0,76,1,0,0,0,169.5,77,40,6.2,10,11,440
1,113,1,0,0,2,239.7,47,65,14.15,8.7,63,4095
1,224,0,0,0.26,1,171.5,99,45.6,8,5,15,684
0,117,1,0,0,0,239.9,84,56,8.74,9.8,37,2072
0,128,1,1,4.32,1,142.3,73,84.2,9.74,16,14,1178.8
0,115,1,0,0,2,184.1,98,60,16.35,7.5,49,2940
0,141,1,1,2.51,2,206.9,126,83.1,13.22,9.3,28,2326.7999999999997
0,51,1,0,0,1,259.9,114,60,8.81,15.3,59,3540
0,100,1,0,0,0,203.8,122,59,14.16,12.5,17,1003
0,96,1,1,2.78,3,248.8,124,82.8,7.02,10.3,50,4140
0,112,1,1,3.05,1,221.6,110,79.5,6.51,11.3,39,3100.5
0,129,0,0,0.39,1,192.9,131,52.9,9.28,10.9,34,1798.6
0,163,1,0,0,1,122.4,129,31,5.67,12.5,35,1085
0,67,1,1,2.59,1,104.9,65,62.9,10.82,9.6,20,1258
0,140,1,0,0,3,173.2,91,47,9.84,11.2,8,376
0,49,1,0,0,2,119.4,69,44,13.67,12.4,20,880
1,46,1,0,0,2,250.3,100,65,13.03,13.3,28,1820
0,148,1,0,0.39,1,178.3,98,58.9,14.13,11.4,55,3239.5
0,112,1,0,0,1,243.4,77,57,9.11,12.8,56,3192
0,78,1,0,0,2,155,106,42,8.77,11.8,46,1932
0,61,1,1,2.32,0,288.7,101,90.2,10.19,8.6,56,5051.2
0,58,1,1,3.02,1,240.4,80,81.2,5.95,11.2,62,5034.4000000000005
0,155,1,0,0,1,190.3,123,58,15.07,8,69,4002
1,100,1,0,0.32,0,278,76,66.2,8.84,8.3,42,2780.4
0,113,1,0,0,1,155,93,55,16.53,13.5,12,660
0,81,1,0,0,2,153.5,99,43,9.88,6.3,3,129
0,135,1,1,3.32,1,273.4,141,93.2,7.7,12.3,18,1677.6000000000001
0,99,1,0,0,0,155.3,93,49,13.29,12.4,50,2450
0,59,1,1,1.84,1,133.1,114,60.4,11.06,6.8,47,2838.7999999999997
0,135,1,0,0,1,246.8,129,58,9.39,12.6,65,3770
0,85,0,0,0,2,165.4,107,45,9.8,9.6,8,360
0,70,1,0,0.31,0,59.5,103,35.1,12.86,11.1,30,1053
0,88,1,0,0,3,138.3,116,44,11.8,9.6,20,880
0,55,1,0,0,2,286.7,100,61,6.72,6.9,51,3111
0,75,1,0,0.34,1,117.3,114,41.4,10.06,12.2,34,1407.6
0,79,1,1,1.7,4,264.3,79,80,10.14,6.3,64,5120
0,85,1,0,0.25,0,127.9,107,47.5,13.56,12.5,21,997.5
0,86,1,1,2.65,0,225.5,107,86.5,12.32,9.8,52,4498
0,91,1,0,0,0,149,115,47,12.27,8.3,40,1880
0,149,1,1,3.86,1,198.9,77,96.6,13.7,14.3,24,2318.3999999999996
1,97,1,0,0,1,256.4,125,67,13.7,11.1,42,2814
1,88,1,0,0,1,264.8,124,66,12.27,14.8,29,1914
0,60,1,0,0,2,98.2,88,33,9.03,9.3,34,1122
0,54,1,0,0.16,2,159.8,99,51.6,13.2,9.7,22,1135.2
0,11,1,1,1.62,3,190.6,86,68.2,11.01,6,4,272.8
0,109,1,0,0,0,184,120,42,6.02,11,17,714
0,90,1,0,0,1,261.8,128,64,11.03,9.6,20,1280
0,115,1,0,0,3,147.9,109,45,11.42,9.6,51,2295
0,144,1,1,2.73,1,106.4,109,55.3,5.41,10.1,39,2156.7
0,91,1,0,0,0,133.7,75,40,9.77,5.9,9,360
0,105,1,1,2.3,0,193.5,85,75,11.01,8.5,63,4725
1,71,0,0,0,3,178.2,113,45,8.39,13.6,62,2790
1,132,1,1,2.84,3,226.2,103,82.4,9.08,10.5,19,1565.6000000000001
0,112,1,0,0.38,1,170.4,103,49.8,10.01,11.6,21,1045.8
0,86,1,1,3,3,70.9,163,57,8.34,11.1,63,3591
0,41,1,1,4.64,2,194.4,63,101.4,12.75,17.2,7,709.8000000000001
0,44,1,0,0,1,240.3,146,55,8.23,10.6,49,2695
0,78,1,0,0,3,75,116,34,12.44,9.5,68,2312
0,149,1,0,0,1,69.1,117,24,6.82,6.3,45,1080
1,72,1,1,1.67,4,96.6,59,60.7,15.77,6.2,65,3945.5
0,139,1,1,4,0,214.6,101,97,11.76,14.8,36,3492
0,74,1,0,0,3,148.5,111,38,7.33,9.9,57,2166
0,50,1,0,0.29,1,258.1,106,60.9,8.07,11.7,34,2070.6
0,141,1,1,2.05,3,149.7,112,60.5,8.13,7.6,27,1633.5
0,140,1,0,0,1,149.8,134,40,8.22,8.1,26,1040
0,99,1,0,0,2,190.4,102,46,7.91,11.2,57,2622
0,166,1,0,0.21,1,181.4,108,55.1,12.69,11.6,35,1928.5
0,124,1,0,0,1,151.1,123,42,9.37,5.3,58,2436
0,74,1,0,0,0,155.7,116,42,8.69,8.1,13,546
0,117,1,0,0,2,149.9,95,48,12.81,13.3,41,1968
0,85,1,0,0,3,222.3,132,58,11.58,11,43,2494
0,36,1,1,1.81,0,149.4,111,55.1,6.59,6.7,10,551
0,102,0,0,0,0,233.8,103,59,11.08,12.8,27,1593
0,76,1,0,0,0,204.2,100,60,14.63,10.5,65,3900
0,165,1,0,0,1,242.9,126,60,10.49,0,58,3480
0,130,1,0,0,1,150.4,119,46,11.53,12.3,28,1288
0,78,1,0,0,0,208.9,119,57,12.62,12.8,32,1824
1,55,0,0,0.32,1,191.9,91,58.2,12.81,14.3,30,1746
1,92,0,0,0.21,2,130.7,113,47.1,13.03,9.4,37,1742.7
0,129,1,1,1.59,2,119.6,104,60.9,13.94,5.9,24,1461.6
0,18,1,0,0,1,273.6,93,57,5.73,8.2,44,2508
0,161,0,0,0,2,156.1,114,42,9.02,11.1,34,1428
0,93,1,1,2.16,2,178.7,134,67.6,8.93,8,28,1892.7999999999997
0,144,1,0,0,2,177.5,93,55,14.37,11.9,48,2640
1,75,0,0,0,4,211.3,61,45,5.28,9.7,18,810
0,95,1,0,0,1,175.2,91,51,12.22,7.5,30,1530
0,126,1,1,3.4,3,114.3,102,70,9.52,12.6,22,1540
0,124,1,1,2.03,1,251.4,104,82.3,11.26,7.5,26,2139.7999999999997
1,93,0,0,0,1,216.9,61,55,10.37,17.5,49,2695
0,109,0,1,2.51,0,217.2,138,75.1,7.28,9.3,30,2253
0,80,1,0,0,0,206.3,97,49,7.75,12.4,72,3528
0,41,1,0,0.19,1,159.3,66,39.9,6.3,11.1,51,2034.8999999999999
0,136,1,1,3.08,2,143.1,88,75.8,11.83,11.4,47,3562.6
1,92,1,0,0,3,154,122,55,16.49,5.6,58,3190
0,143,1,1,3.13,1,186.6,69,82.3,11.1,11.6,38,3127.4
1,118,1,1,2.59,5,170.8,114,71.9,9.98,9.6,65,4673.5
0,193,1,1,3.32,1,124,102,72.2,10.15,12.3,30,2166
0,73,1,0,0,3,198.3,94,58,13.97,14.8,47,2726
0,62,1,0,0,2,172.8,101,47,10.24,9.1,4,188
0,30,1,1,1.78,0,217.4,74,73.8,10.69,6.6,28,2066.4
1,60,0,1,3.78,0,265.9,113,101.8,10.79,14,41,4173.8
0,148,1,1,4.73,1,93.6,137,80.3,9.69,17.5,70,5621
0,96,1,0,0,2,98.2,100,43,15.36,7.6,20,860
0,52,1,0,0.35,2,214.7,68,53.5,7.93,9.4,14,749
0,87,1,0,0,1,168.2,92,48,11.24,12.9,9,432
0,41,1,0,0.21,3,202.9,97,50.1,7.69,9,31,1553.1000000000001
0,112,1,0,0,1,261.4,108,58,7.73,11.6,24,1392
1,88,1,0,0,4,73.3,86,27,8.07,8.2,70,1890
0,122,1,1,2.48,7,253.7,84,87.8,11.46,9.2,22,1931.6
0,61,1,0,0,2,45,108,21,7.57,9.8,11,231
0,87,1,0,0.38,1,231.3,105,57.8,8.59,13,59,3410.2
0,176,1,0,0.25,2,47.4,125,25.5,8.39,10.5,19,484.5
0,30,1,0,0,0,227.4,88,55,9.13,12.5,33,1815
0,95,1,1,3.21,0,40.9,126,51.1,6.67,11.9,40,2044
0,46,1,0,0,2,124.8,133,35,7.87,8.6,55,1925
0,100,0,0,0.19,0,68.5,110,42.9,16.86,12.1,38,1630.2
0,47,1,1,2.11,2,163.5,77,67.1,10.16,7.8,34,2281.3999999999996
0,77,1,0,0,2,163,112,47,10.96,6.7,1,47
0,98,1,1,2.89,2,213.7,61,86.9,12.65,10.7,57,4953.3
0,125,1,1,1.46,1,201.3,117,52.6,2.11,5.4,55,2893
0,67,1,0,0.22,4,310.4,97,61.2,3.33,9.2,18,1101.6000000000001
0,194,1,0,0,1,48.4,101,33,14.06,18.2,60,1980
0,128,1,1,3.78,1,171.2,88,79.8,7.29,14,68,5426.4
0,190,1,1,2.3,0,166.5,93,67,9.15,8.5,71,4757
0,165,1,0,0,0,216.6,126,54,9.54,12.4,14,756
0,59,1,0,0,2,107.8,113,37,10.83,9.9,10,370
0,47,1,1,2.11,1,141.3,94,60.1,8.4,7.8,71,4267.1
0,150,1,1,1.78,0,209.9,77,67.8,7.9,6.6,69,4678.2
1,152,0,1,3.83,9,237.5,120,100.3,12.67,14.2,38,3811.4
0,26,1,0,0,3,234.5,109,59,10.83,3.5,5,295
0,79,1,1,3.29,3,103.1,90,71.9,12.15,12.2,21,1509.9
0,95,1,1,3.21,1,129.5,106,76.1,12.45,11.9,63,4794.299999999999
1,69,0,0,0,2,279.8,90,69,12.44,8.4,35,2415
1,95,0,1,2.78,5,136.8,91,68.8,10.04,10.3,3,206.39999999999998
0,31,1,1,1.59,0,100.1,54,53.9,12.32,5.9,64,3449.6
0,121,1,1,2.73,4,237.1,63,85.3,10.28,10.1,45,3838.5
1,111,1,0,0,4,172.8,58,45,9.16,7.9,29,1305
0,157,1,0,0,2,224.5,111,56,10.04,11.5,42,2352
1,44,1,0,0.21,3,288.1,112,73.1,12.9,10.2,17,1242.6999999999998
0,61,0,0,0,2,78.2,103,30,9.8,10.1,20,600
0,65,1,0,0,2,148.7,80,48,12.95,12.7,64,3072
0,74,1,1,3.54,2,194.6,84,79.4,6,13.1,49,3890.6000000000004
0,123,1,0,0,0,159.5,77,53,15.19,12,30,1590
0,58,1,1,2.57,1,194.5,110,77.7,10.69,9.5,51,3962.7000000000003
1,74,1,0,0,2,174.1,96,51,12.56,8.3,33,1683
0,125,1,0,0.39,2,131.8,97,38.9,6.84,7.7,7,272.3
0,80,1,0,0,1,160.6,103,48,11.85,10.7,25,1200
0,53,1,1,1.94,0,146.8,107,71.4,15.5,7.2,24,1713.6000000000001
0,99,1,1,2.46,1,200.7,88,81.6,13.21,9.1,66,5385.5999999999995
0,99,1,0,0.33,1,145.6,106,37.3,4.92,10.9,36,1342.8
0,66,1,1,2.16,2,229.4,104,82.6,12.87,8,52,4295.2
0,97,1,0,0,3,211,76,52,9.45,4.7,8,416
0,75,1,1,3.05,2,121.5,97,74.5,13.57,11.3,17,1266.5
0,85,0,0,0,2,216,73,53,9.41,3.6,58,3074
0,108,1,0,0,2,293,88,64,8.03,10,37,2368
1,133,0,1,4.16,2,221.1,137,102.6,13.25,15.4,17,1744.1999999999998
0,51,1,0,0,1,181.5,108,48,9.85,10.3,52,2496
0,186,1,1,3.92,2,74.3,107,67.2,8.87,14.5,25,1680
0,44,0,0,0,1,62.3,92,34,13.75,10.8,67,2278
0,64,1,1,2.43,3,228.6,88,84.3,12.43,9,14,1180.2
1,44,1,0,0.33,2,228.1,121,66.3,13.83,9.9,56,3712.7999999999997
0,114,1,1,3.83,1,309.9,90,108.3,10.02,14.2,44,4765.2
0,92,1,0,0.16,3,201.9,74,55.6,11.34,13.7,55,3058
0,110,1,0,0.29,2,149.8,112,43.9,9,11.7,67,2941.2999999999997
0,90,1,1,2.08,1,183.8,76,71.8,11.49,7.7,36,2584.7999999999997
0,72,1,1,4.46,1,186.7,108,105.6,16.75,16.5,35,3696
1,113,1,0,0,1,209.4,151,66,17.37,7.4,39,2574
0,171,1,1,2.75,3,223.2,77,81.5,9.16,10.2,60,4890
0,104,1,0,0,1,164.2,109,42,7.77,10.7,37,1554
0,165,1,0,0.13,1,150.5,75,43.3,9.66,10.3,4,173.2
1,104,1,0,0,0,234.2,128,65,14.66,9.8,29,1885
0,110,1,0,0,1,55.3,102,24,8.24,10.2,8,192
0,90,0,0,0,1,221.8,97,56,10.19,8.4,44,2464
0,114,1,0,0.4,1,169.6,85,38,2.95,7.4,44,1672
1,101,1,0,0,5,89.7,118,38,13.01,13.5,12,456
0,117,1,1,2.32,1,80.2,81,56.2,10.95,8.6,9,505.8
0,109,1,0,0.42,2,218.9,105,67.2,15,11.3,67,4502.4000000000005
0,82,1,0,0,1,125.7,96,40,10.38,12.9,3,120
0,92,1,0,0.31,2,176.3,85,41.1,4.67,9.6,26,1068.6000000000001
0,82,1,1,2.57,2,207.2,111,82.7,12.71,9.5,7,578.9
0,90,1,0,0,2,205.7,138,49,8.1,12.5,27,1323
0,87,1,1,0,1,151.4,95,39,7.62,0,44,1716
0,124,1,0,0,3,157.5,70,38,6.54,9.6,49,1862
0,39,1,0,0,2,160.4,68,36,5.13,9.1,47,1692
0,84,1,0,0,1,159,80,42,8.4,12.3,20,840
0,75,1,1,2.48,0,214.1,62,78.8,10.05,9.2,45,3546
0,102,1,0,0,2,102.6,89,39,12.3,9.1,19,741
1,62,0,0,0,0,159.7,86,44,9.88,13.9,66,2904
0,143,1,0,0.27,1,202.8,109,51.7,8.29,4.6,22,1137.4
0,53,1,0,0,3,57.5,95,33,13.28,11.6,37,1221
0,30,1,0,0,1,169.9,144,49,11.26,11.4,50,2450
1,112,1,0,0,2,335.5,77,76,10.63,12.7,33,2508
0,129,1,0,0,0,139.5,119,49,14.47,13.1,68,3332
0,63,1,1,1.78,1,142.3,107,52.8,5.94,6.6,62,3273.6
0,28,1,0,0,0,187.8,94,54,12.43,10.6,42,2268
0,111,1,0,0,3,146.2,55,48,13.08,8.7,56,2688
0,91,1,0,0,3,231.8,120,53,7.53,11.6,25,1325
0,90,1,0,0,1,193.7,83,47,7.71,12.7,39,1833
0,151,1,0,0.24,4,156.4,108,49.4,11.67,7.7,14,691.6
1,105,0,1,3.56,1,220.7,82,92.6,10.89,13.2,61,5648.5999999999995
0,41,1,1,1.97,2,239.8,110,79.7,11.1,7.3,23,1833.1000000000001
0,48,1,1,2.16,1,172,111,68.6,10.01,8,21,1440.6
0,166,0,1,2.38,2,128.2,138,69.8,13.73,8.8,41,2861.7999999999997
0,79,1,0,0,3,130.2,119,47,14.55,14,39,1833
0,153,1,0,0,1,195.4,107,47,7.73,11.6,70,3290
1,110,0,0,0,0,293.3,79,66,9.43,14.5,52,3432
0,163,1,0,0,1,191.3,89,49,9.7,12.8,28,1372
0,126,1,0,0,1,122.4,88,34,7.19,11.5,8,272
0,105,1,1,2.86,2,209.6,68,77.6,7.35,10.6,31,2405.6
0,172,1,0,0,3,215.7,140,50,7.32,7.1,62,3100
0,126,1,0,0,0,161.4,110,47,11.03,5.1,24,1128
0,97,1,0,0.27,3,144.2,91,46.7,11.34,13.8,37,1727.9
1,95,0,1,1.11,0,220.2,109,65.1,9.27,4.1,58,3775.7999999999997
0,87,1,0,0,4,256.2,105,58,8.04,7.4,11,638
0,97,1,0,0,1,112.7,119,38,10.89,6.5,71,2698
1,76,1,0,0,0,299.5,125,71,11.34,13.7,56,3976
0,140,1,0,0,0,194.8,107,48,8.55,13.9,44,2112
0,169,1,0,0,0,100.8,112,37,11.5,9.5,4,148
0,68,1,1,1.3,3,82.5,97,52,14.5,4.8,31,1612
0,122,1,1,4.21,2,146.4,104,75.1,4.49,15.6,52,3905.2
0,36,1,0,0,2,177.9,129,50,11.23,10.8,35,1750
0,120,1,1,2.75,5,153.5,84,70.5,9.7,10.2,61,4300.5
0,121,1,0,0,1,150.7,105,43,9.87,9.2,61,2623
0,64,1,1,2.03,0,180.1,106,62.3,6.38,7.5,65,4049.5
0,13,1,1,3.48,1,265.3,94,92.8,7.38,12.9,48,4454.4
0,106,1,0,0,0,128.6,83,34,6.7,11.4,5,170
0,88,1,0,0,2,161.5,92,43,8.68,7.9,17,731
0,74,1,0,0,1,165.3,120,45,9.93,9.8,43,1935
0,83,1,0,0,0,195,92,52,10.53,11,65,3380
0,49,1,0,0,0,213.8,79,59,13.26,15.6,33,1947
0,111,1,1,3.78,1,205.5,114,91.8,10.97,14,67,6150.5999999999995
0,50,1,1,2.3,3,252.9,112,82,8.9,8.5,69,5658
0,153,1,1,4.16,0,235.6,74,101.6,11.4,15.4,39,3962.3999999999996
0,88,1,0,0,1,192,91,44,6.38,7.5,70,3080
0,131,1,1,2.46,0,69.1,122,45.6,5.07,9.1,13,592.8000000000001
1,79,1,0,0,3,261.7,97,63,10.53,6,33,2079
0,140,1,0,0,2,235.5,81,62,12.86,11.5,50,3100
0,105,1,0,0.38,1,213.4,100,57.8,10.25,9.5,10,578
0,54,1,1,2.48,3,206.9,143,71.8,6.39,9.2,2,143.6
0,87,1,1,2.3,3,263.8,65,77,5.17,8.5,40,3080
0,96,1,1,2.84,1,183.4,126,76.4,9.78,10.5,67,5118.8
1,79,1,0,0,5,157.6,85,44,9.71,9.4,34,1496
0,55,1,0,0,0,175.6,147,44,8.09,9.3,49,2156
0,130,1,0,0,2,242.5,101,50,5.14,9.3,67,3350
0,34,1,0,0,0,151,102,37,6.57,9.9,43,1591
0,139,1,0,0.29,1,138.1,103,40.9,8.23,8.3,58,2372.2
1,109,1,0,0,1,264.7,69,71,15.25,9.5,37,2627
0,65,1,1,3.24,1,282.3,70,93.4,7.6,12,22,2054.8
0,63,1,0,0.37,0,211.2,80,60.7,11.89,12.3,3,182.10000000000002
0,152,1,0,0,3,197.1,126,45,6.51,7.4,16,720
0,147,1,0,0,1,205.3,95,50,8.34,7.8,27,1350
0,112,1,1,2.48,2,181.8,110,75.8,11.41,9.2,72,5457.5999999999995
0,120,1,0,0,2,252,120,56,7.51,9.6,9,504
0,27,1,0,0,0,193.8,102,44,5.95,9.2,38,1672
0,171,1,0,0,1,231.2,135,56,9.44,12.3,48,2688
0,101,1,1,4.19,0,200.1,108,92.9,9.45,15.5,30,2787
0,32,1,1,4.4,1,266.7,109,110,11.62,16.3,37,4070
0,3,1,1,3.21,2,118.1,117,71.1,11.08,11.9,20,1422
0,151,1,0,0.43,0,175.3,106,47.3,7.22,11.8,67,3169.1
0,60,1,0,0.35,3,125.1,99,46.5,12.44,11.2,17,790.5
0,119,1,0,0.39,1,176.8,90,53.9,11.24,7.5,8,431.2
0,43,1,0,0,1,241.9,101,53,6.47,5.9,39,2067
0,42,1,0,0,0,241.2,134,51,5.83,10.6,53,2703
0,84,1,0,0,1,217.1,99,57,11.8,9.4,20,1140
0,65,1,0,0.33,0,195.4,110,52.3,9.06,8.9,61,3190.2999999999997
1,75,0,0,0,1,222.4,78,66,16.35,8.7,23,1518
0,116,1,0,0,1,189.5,90,49,9.49,13.1,56,2744
0,107,1,0,0,0,123.1,100,35,7.92,9.3,33,1155
0,189,1,1,3.08,3,256.7,98,87.8,7.53,11.4,60,5268
0,123,1,0,0,1,159.1,94,48,12.08,6.5,19,912
0,110,1,0,0.24,3,100.1,90,39.4,11.67,11.1,50,1970
0,63,1,1,2.32,1,30.9,113,45.2,9.35,8.6,10,452
0,176,1,0,0,3,223.2,76,57,10.72,10.1,19,1083
0,108,1,0,0,1,187.4,101,49,10,12.6,40,1960
0,13,1,1,3.27,3,315.6,105,104.7,10.45,12.1,53,5549.1
0,71,1,0,0,1,277.5,104,59,6.59,8.2,39,2301
0,88,1,0,0,2,189.8,111,50,9.87,14.9,60,3000
0,137,1,0,0,1,147.2,119,42,9.64,10.2,39,1638
0,82,1,0,0,4,185.8,36,56,13.83,5.7,37,2072
0,92,1,1,2.16,3,155.4,110,64.6,9.43,8,65,4199
0,165,1,0,0,6,154.2,91,50,13.43,10.9,51,2550
0,96,1,0,0,1,97.6,98,26,5.28,11.6,56,1456
0,156,1,0,0.33,1,178.8,94,49.3,8.92,7.5,50,2465
0,63,1,0,0,0,149.3,104,49,13.68,9.1,23,1127
0,37,1,0,0,0,206,89,51,9.3,8.4,38,1938
0,98,1,0,0,0,216.8,86,54,9.54,11,53,2862
0,121,1,0,0,0,103.3,110,29,6.46,10.7,36,1044
0,94,1,0,0.15,0,139.4,95,39.5,7.96,7.7,61,2409.5
0,99,1,0,0,1,191.2,110,47,8.2,14.1,12,564
0,163,1,1,2.81,1,160,104,72.1,9.47,10.4,6,432.59999999999997
0,161,1,0,0.32,3,221.7,95,58.2,9.65,6.5,1,58.2
0,99,1,0,0,1,62.9,81,31,11.55,8.5,59,1829
0,108,1,0,0,1,215.6,78,54,9.77,3.6,56,3024
0,84,1,1,2.05,3,165.3,97,68.5,11.18,7.6,26,1781
0,83,0,1,2.86,2,94.7,111,58.6,7.72,10.6,57,3340.2000000000003
0,139,1,0,0,2,203.2,81,48,7.63,9.7,56,2688
0,69,1,0,0.29,3,195.3,70,54.9,10.84,12.5,3,164.7
0,129,1,0,0,4,143.7,114,50,14.89,11.4,45,2250
0,106,1,0,0.31,2,114.4,104,30.1,3.92,0,19,571.9
0,158,1,0,0,2,222.8,101,56,10.15,6.9,50,2800
0,168,1,1,1.97,2,175.9,70,67.7,10.59,7.3,14,947.8000000000001
1,115,0,0,0,1,249.9,95,64,12.13,15.3,22,1408
0,57,0,1,3.08,2,234.5,130,87.8,9.76,11.4,46,4038.7999999999997
0,67,1,0,0,1,210.7,116,55,10.96,7.2,7,385
0,127,1,0,0,1,182.3,124,46,8.5,9.3,47,2162
0,78,1,0,0,2,190.3,88,49,9.73,11.7,55,2695
0,100,1,1,2,0,177.1,88,65,8.19,7.4,38,2470
1,103,1,1,2.94,6,87.2,92,59.4,8.47,10.9,43,2554.2
0,113,1,0,0,1,215.6,96,54,9.67,13.5,49,2646
0,78,1,0,0,3,137.4,109,44,11.88,14,25,1100
0,129,1,1,4.43,1,192.8,103,92.3,8.85,16.4,30,2769
0,57,1,0,0.2,2,149.3,100,45,10.01,11.9,27,1215
0,82,1,0,0,1,143.7,116,39,8.54,7.8,19,741
0,64,1,0,0,1,224.8,111,55,9.5,9.2,42,2310
0,86,1,1,3.43,2,261.2,122,97.3,10.71,12.7,61,5935.3
0,151,1,1,3.62,0,196.5,98,85.2,8.79,13.4,22,1874.4
1,94,1,0,0,3,271.2,105,64,10.13,11.5,72,4608
0,90,1,0,0,2,207.2,121,61,14.63,8,71,4331
0,48,1,0,0,2,300.4,94,63,6.66,7.2,16,1008
0,85,1,1,2.57,2,229.6,123,76.7,6.62,9.5,72,5522.4000000000005
0,93,0,1,3.27,1,187.5,110,79.7,8.49,12.1,23,1833.1000000000001
0,169,0,0,0,3,57.1,98,27,9.99,6.5,60,1620
1,68,1,0,0,5,162.1,86,41,7.75,11,43,1763
1,91,0,0,0,2,145,89,40,8.79,16.7,57,2280
0,68,1,0,0,1,159.5,123,48,12.04,11.4,27,1296
0,101,1,0,0,1,190.7,72,51,10.43,8.8,18,918
0,67,1,1,2.54,1,230.6,40,81.4,9.46,9.4,16,1302.4
0,66,1,0,0,0,34,133,30,13.93,11.5,72,2160
0,116,1,1,3.08,5,193.4,112,84.8,12.03,11.4,23,1950.3999999999999
0,158,1,0,0,1,202,126,49,8.18,10.4,50,2450
0,78,1,0,0,1,191.7,122,54,12.07,9.1,2,108
0,119,1,1,1.78,1,161.3,97,66.8,12.52,6.6,31,2070.7999999999997
0,120,1,0,0.3,1,150.6,85,39,5.95,6.4,54,2106
0,155,1,0,0.34,1,184.6,102,52.4,9.8,7.8,33,1729.2
0,106,1,0,0,1,220.7,120,61,13.51,8.7,17,1037
0,87,0,0,0,1,167.3,119,46,9.93,11,6,276
0,146,1,1,2.21,3,154,80,64.1,9.28,8.2,12,769.1999999999999
0,101,1,1,2.73,0,121.1,116,64.3,9.32,10.1,33,2121.9
0,22,1,1,3.43,3,182.1,94,79.3,8.23,12.7,11,872.3
0,90,1,0,0,2,109.6,88,31,6.88,11,64,1984
0,41,1,0,0.34,1,209.9,105,50.4,6.1,9.6,61,3074.4
0,69,1,0,0,2,167.5,76,50,12.11,11.4,60,3000
0,33,1,0,0,2,213.9,88,57,11.99,9.8,51,2907
0,112,1,0,0,1,115.8,108,41,12.17,13.1,53,2173
0,108,1,1,2.65,2,276.6,99,92.5,11.01,9.8,37,3422.5
0,136,1,1,2.57,2,179.4,88,71.7,9.06,9.5,40,2868
0,128,1,0,0,1,187.3,84,55,13.54,10.1,53,2915
0,27,1,0,0,2,201.2,128,54,11.36,8.4,48,2592
0,161,0,0,0,1,189.6,78,55,13.37,1.3,47,2585
0,33,1,1,4.05,0,186.8,124,94.5,13.05,15,71,6709.5
0,120,1,1,3.08,0,153.5,83,75.8,10.96,11.4,33,2501.4
0,113,1,0,0,2,187.6,97,50,10.41,8.7,24,1200
1,122,0,0,0,0,230.9,132,60,12.16,11,72,4320
0,148,1,1,4.1,2,244.9,150,93,5.9,15.2,6,558
0,74,1,0,0,3,230.9,93,59,11.15,9.7,43,2537
0,106,1,0,0.26,1,187.1,104,56.6,12.51,11,33,1867.8
0,179,1,0,0,1,170.7,54,46,9.56,13.3,52,2392
1,149,0,1,2.38,5,126.9,97,59.8,8.35,8.8,37,2212.6
0,77,1,0,0,0,189.5,112,50,10.35,9.2,43,2150
1,127,0,0,0,1,176.9,110,45,8.4,7.7,27,1215
0,80,1,0,0,1,161.1,99,45,9.94,10.6,49,2205
0,106,1,0,0,1,169.4,107,46,9.86,10.7,17,782
0,61,1,1,2.84,0,254.4,133,85.4,8.09,10.5,62,5294.8
0,135,0,1,1.57,2,127.7,54,55.7,10.75,5.8,26,1448.2
0,115,1,1,3.67,6,170.5,107,84.7,10.86,13.6,57,4827.9000000000005
0,167,0,0,0,2,219.1,100,58,12.15,10.1,27,1566
0,107,0,0,0,2,273.5,104,63,9.19,11,3,189
0,112,0,0,0,1,161.9,138,45,10.05,10.7,33,1485
0,35,1,1,2.54,1,241.7,87,79.4,7.1,9.4,11,873.4000000000001
0,103,0,0,0.38,3,62.8,124,29.8,8.52,9.4,13,387.40000000000003
0,107,1,1,3.02,1,281.1,83,90.2,7.19,11.2,46,4149.2
